Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
33019,00;655,70;224,45;187,50;1,20;0,55;33340,00;205,04;0,76;0,99;0,97;0,91;0,01;0,00;0,83;1,00;SEKER
33051,00;663,07;218,95;192,47;1,14;0,48;33423,00;205,14;0,78;0,99;0,94;0,94;0,01;0,00;0,88;1,00;SEKER
33058,00;655,51;224,45;187,88;1,19;0,55;33320,00;205,16;0,80;0,99;0,97;0,91;0,01;0,00;0,84;1,00;SEKER
33062,00;667,97;222,04;189,78;1,17;0,52;33439,00;205,17;0,78;0,99;0,93;0,92;0,01;0,00;0,85;1,00;SEKER
33078,00;659,46;235,56;178,93;1,32;0,65;33333,00;205,22;0,79;0,99;0,96;0,87;0,01;0,00;0,76;1,00;SEKER
33078,00;652,21;221,39;190,35;1,16;0,51;33327,00;205,22;0,77;0,99;0,98;0,93;0,01;0,00;0,86;1,00;SEKER
33089,00;663,92;217,34;194,21;1,12;0,45;33466,00;205,26;0,77;0,99;0,94;0,94;0,01;0,00;0,89;1,00;SEKER
33090,00;653,81;228,41;184,69;1,24;0,59;33352,00;205,26;0,77;0,99;0,97;0,90;0,01;0,00;0,81;1,00;SEKER
33143,00;648,39;222,53;189,74;1,17;0,52;33377,00;205,42;0,77;0,99;0,99;0,92;0,01;0,00;0,85;1,00;SEKER
33159,00;653,80;222,44;189,98;1,17;0,52;33415,00;205,47;0,79;0,99;0,97;0,92;0,01;0,00;0,85;1,00;SEKER
33168,00;680,62;234,32;180,58;1,30;0,64;33542,00;205,50;0,76;0,99;0,90;0,88;0,01;0,00;0,77;1,00;SEKER
33171,00;654,34;222,25;190,36;1,17;0,52;33429,00;205,51;0,79;0,99;0,97;0,92;0,01;0,00;0,86;1,00;SEKER
33194,00;664,66;232,31;182,09;1,28;0,62;33520,00;205,58;0,77;0,99;0,94;0,88;0,01;0,00;0,78;1,00;SEKER
33236,00;660,79;210,86;200,93;1,05;0,30;33611,00;205,71;0,77;0,99;0,96;0,98;0,01;0,00;0,95;1,00;SEKER
33248,00;660,07;230,97;183,43;1,26;0,61;33511,00;205,75;0,79;0,99;0,96;0,89;0,01;0,00;0,79;1,00;SEKER
33251,00;658,96;217,45;194,98;1,12;0,44;33565,00;205,76;0,76;0,99;0,96;0,95;0,01;0,00;0,90;1,00;SEKER
33276,00;704,49;234,79;180,71;1,30;0,64;33857,00;205,84;0,76;0,98;0,84;0,88;0,01;0,00;0,77;1,00;SEKER
33316,00;670,59;229,22;185,28;1,24;0,59;33699,00;205,96;0,78;0,99;0,93;0,90;0,01;0,00;0,81;1,00;SEKER
33319,00;668,60;225,02;188,84;1,19;0,54;33732,00;205,97;0,80;0,99;0,94;0,92;0,01;0,00;0,84;1,00;SEKER
33325,00;674,43;223,83;189,74;1,18;0,53;33701,00;205,99;0,80;0,99;0,92;0,92;0,01;0,00;0,85;1,00;SEKER
33330,00;653,78;224,36;189,43;1,18;0,54;33580,00;206,00;0,79;0,99;0,98;0,92;0,01;0,00;0,84;1,00;SEKER
33333,00;679,26;220,53;192,72;1,14;0,49;33834,00;206,01;0,77;0,99;0,91;0,93;0,01;0,00;0,87;1,00;SEKER
33338,00;659,10;232,26;182,92;1,27;0,62;33639,00;206,03;0,78;0,99;0,96;0,89;0,01;0,00;0,79;1,00;SEKER
33344,00;661,51;225,32;188,67;1,19;0,55;33692,00;206,05;0,76;0,99;0,96;0,91;0,01;0,00;0,84;1,00;SEKER
33382,00;659,43;222,87;190,92;1,17;0,52;33730,00;206,16;0,78;0,99;0,96;0,93;0,01;0,00;0,86;1,00;SEKER
33399,00;664,70;221,56;192,09;1,15;0,50;33752,00;206,22;0,76;0,99;0,95;0,93;0,01;0,00;0,87;1,00;SEKER
33421,00;654,80;219,54;194,03;1,13;0,47;33691,00;206,28;0,76;0,99;0,98;0,94;0,01;0,00;0,88;1,00;SEKER
33423,00;659,04;224,17;189,98;1,18;0,53;33707,00;206,29;0,77;0,99;0,97;0,92;0,01;0,00;0,85;1,00;SEKER
33427,00;665,61;228,22;186,63;1,22;0,58;33789,00;206,30;0,75;0,99;0,95;0,90;0,01;0,00;0,82;1,00;SEKER
33429,00;658,61;229,45;185,70;1,24;0,59;33713,00;206,31;0,79;0,99;0,97;0,90;0,01;0,00;0,81;1,00;SEKER
33431,00;666,84;219,91;193,68;1,14;0,47;33788,00;206,31;0,79;0,99;0,94;0,94;0,01;0,00;0,88;1,00;SEKER
33433,00;657,35;225,00;189,57;1,19;0,54;33708,00;206,32;0,78;0,99;0,97;0,92;0,01;0,00;0,84;1,00;SEKER
33446,00;656,08;224,23;190,26;1,18;0,53;33713,00;206,36;0,77;0,99;0,98;0,92;0,01;0,00;0,85;1,00;SEKER
33447,00;664,41;226,12;188,74;1,20;0,55;33791,00;206,36;0,77;0,99;0,95;0,91;0,01;0,00;0,83;1,00;SEKER
33459,00;655,41;219,13;194,54;1,13;0,46;33765,00;206,40;0,79;0,99;0,98;0,94;0,01;0,00;0,89;1,00;SEKER
33468,00;659,99;224,46;189,95;1,18;0,53;33748,00;206,43;0,79;0,99;0,97;0,92;0,01;0,00;0,85;1,00;SEKER
33498,00;657,52;227,94;187,32;1,22;0,57;33745,00;206,52;0,78;0,99;0,97;0,91;0,01;0,00;0,82;1,00;SEKER
33534,00;657,07;218,84;195,19;1,12;0,45;33793,00;206,63;0,78;0,99;0,98;0,94;0,01;0,00;0,89;1,00;SEKER
33538,00;658,28;227,52;187,94;1,21;0,56;33800,00;206,64;0,76;0,99;0,97;0,91;0,01;0,00;0,82;1,00;SEKER
33539,00;662,42;223,68;191,20;1,17;0,52;33915,00;206,65;0,76;0,99;0,96;0,92;0,01;0,00;0,85;1,00;SEKER
33547,00;653,51;213,75;199,93;1,07;0,35;33832,00;206,67;0,78;0,99;0,99;0,97;0,01;0,00;0,93;1,00;SEKER
33560,00;669,26;227,94;187,86;1,21;0,57;33897,00;206,71;0,74;0,99;0,94;0,91;0,01;0,00;0,82;1,00;SEKER
33576,00;666,34;224,59;190,46;1,18;0,53;33927,00;206,76;0,76;0,99;0,95;0,92;0,01;0,00;0,85;1,00;SEKER
33583,00;657,75;221,71;192,95;1,15;0,49;33868,00;206,78;0,78;0,99;0,98;0,93;0,01;0,00;0,87;1,00;SEKER
33584,00;658,85;223,74;191,35;1,17;0,52;33884,00;206,79;0,75;0,99;0,97;0,92;0,01;0,00;0,85;1,00;SEKER
33607,00;690,17;214,77;199,52;1,08;0,37;34162,00;206,86;0,77;0,98;0,89;0,96;0,01;0,00;0,93;1,00;SEKER
33620,00;670,22;222,78;192,23;1,16;0,51;34012,00;206,90;0,78;0,99;0,94;0,93;0,01;0,00;0,86;1,00;SEKER
33623,00;659,41;217,37;197,08;1,10;0,42;33918,00;206,91;0,79;0,99;0,97;0,95;0,01;0,00;0,91;1,00;SEKER
33631,00;669,08;224,89;190,75;1,18;0,53;34009,00;206,93;0,76;0,99;0,94;0,92;0,01;0,00;0,85;1,00;SEKER
33639,00;663,03;224,66;190,85;1,18;0,53;33919,00;206,96;0,79;0,99;0,96;0,92;0,01;0,00;0,85;1,00;SEKER
33717,00;664,36;231,62;185,65;1,25;0,60;33985,00;207,20;0,77;0,99;0,96;0,89;0,01;0,00;0,80;1,00;SEKER
33731,00;671,70;231,17;186,13;1,24;0,59;34073,00;207,24;0,80;0,99;0,94;0,90;0,01;0,00;0,80;1,00;SEKER
33736,00;655,73;221,39;194,14;1,14;0,48;33988,00;207,25;0,79;0,99;0,99;0,94;0,01;0,00;0,88;1,00;SEKER
33794,00;665,83;219,00;196,58;1,11;0,44;34127,00;207,43;0,78;0,99;0,96;0,95;0,01;0,00;0,90;1,00;SEKER
33809,00;669,34;230,25;187,16;1,23;0,58;34143,00;207,48;0,78;0,99;0,95;0,90;0,01;0,00;0,81;1,00;SEKER
33824,00;656,34;220,75;195,28;1,13;0,47;34079,00;207,52;0,79;0,99;0,99;0,94;0,01;0,00;0,88;1,00;SEKER
33838,00;661,03;222,97;193,48;1,15;0,50;34146,00;207,57;0,78;0,99;0,97;0,93;0,01;0,00;0,87;1,00;SEKER
33845,00;670,95;226,38;190,52;1,19;0,54;34159,00;207,59;0,76;0,99;0,94;0,92;0,01;0,00;0,84;1,00;SEKER
33849,00;669,57;221,61;194,67;1,14;0,48;34239,00;207,60;0,79;0,99;0,95;0,94;0,01;0,00;0,88;1,00;SEKER
33858,00;664,46;234,34;184,14;1,27;0,62;34142,00;207,63;0,78;0,99;0,96;0,89;0,01;0,00;0,79;1,00;SEKER
33860,00;683,32;225,54;191,52;1,18;0,53;34319,00;207,63;0,78;0,99;0,91;0,92;0,01;0,00;0,85;1,00;SEKER
33864,00;662,90;221,22;195,06;1,13;0,47;34167,00;207,65;0,77;0,99;0,97;0,94;0,01;0,00;0,88;1,00;SEKER
33866,00;668,42;230,93;186,86;1,24;0,59;34171,00;207,65;0,80;0,99;0,95;0,90;0,01;0,00;0,81;1,00;SEKER
33876,00;666,97;228,15;189,16;1,21;0,56;34211,00;207,68;0,79;0,99;0,96;0,91;0,01;0,00;0,83;1,00;SEKER
33930,00;666,21;224,15;192,86;1,16;0,51;34251,00;207,85;0,76;0,99;0,96;0,93;0,01;0,00;0,86;1,00;SEKER
33946,00;667,31;231,54;187,03;1,24;0,59;34246,00;207,90;0,79;0,99;0,96;0,90;0,01;0,00;0,81;1,00;SEKER
33946,00;668,56;234,75;184,29;1,27;0,62;34280,00;207,90;0,76;0,99;0,95;0,89;0,01;0,00;0,78;1,00;SEKER
33961,00;690,35;238,19;181,65;1,31;0,65;34379,00;207,94;0,77;0,99;0,90;0,87;0,01;0,00;0,76;1,00;SEKER
33961,00;667,50;233,11;185,73;1,26;0,60;34279,00;207,94;0,77;0,99;0,96;0,89;0,01;0,00;0,80;1,00;SEKER
33969,00;666,39;222,36;194,77;1,14;0,48;34260,00;207,97;0,76;0,99;0,96;0,94;0,01;0,00;0,87;1,00;SEKER
33972,00;672,81;232,99;185,92;1,25;0,60;34349,00;207,98;0,79;0,99;0,94;0,89;0,01;0,00;0,80;1,00;SEKER
33993,00;669,09;219,75;197,09;1,11;0,44;34299,00;208,04;0,78;0,99;0,95;0,95;0,01;0,00;0,90;1,00;SEKER
33996,00;663,74;223,10;194,38;1,15;0,49;34285,00;208,05;0,76;0,99;0,97;0,93;0,01;0,00;0,87;1,00;SEKER
34004,00;659,96;229,06;189,17;1,21;0,56;34277,00;208,08;0,78;0,99;0,98;0,91;0,01;0,00;0,83;1,00;SEKER
34027,00;670,16;231,66;187,41;1,24;0,59;34334,00;208,15;0,78;0,99;0,95;0,90;0,01;0,00;0,81;1,00;SEKER
34036,00;666,07;226,93;191,11;1,19;0,54;34369,00;208,17;0,75;0,99;0,96;0,92;0,01;0,00;0,84;1,00;SEKER
34051,00;677,27;227,62;190,66;1,19;0,55;34502,00;208,22;0,76;0,99;0,93;0,91;0,01;0,00;0,84;1,00;SEKER
34053,00;671,58;232,44;186,79;1,24;0,60;34362,00;208,22;0,74;0,99;0,95;0,90;0,01;0,00;0,80;1,00;SEKER
34060,00;662,15;220,44;196,88;1,12;0,45;34367,00;208,25;0,79;0,99;0,98;0,94;0,01;0,00;0,89;1,00;SEKER
34082,00;668,35;230,63;188,39;1,22;0,58;34364,00;208,31;0,80;0,99;0,96;0,90;0,01;0,00;0,82;1,00;SEKER
34097,00;680,60;227,82;190,81;1,19;0,55;34502,00;208,36;0,76;0,99;0,93;0,91;0,01;0,00;0,84;1,00;SEKER
34104,00;667,29;229,48;189,54;1,21;0,56;34421,00;208,38;0,80;0,99;0,96;0,91;0,01;0,00;0,82;1,00;SEKER
34113,00;673,91;221,24;196,51;1,13;0,46;34492,00;208,41;0,77;0,99;0,94;0,94;0,01;0,00;0,89;1,00;SEKER
34130,00;666,59;235,54;184,78;1,27;0,62;34392,00;208,46;0,80;0,99;0,97;0,89;0,01;0,00;0,78;1,00;SEKER
34131,00;668,09;224,34;193,80;1,16;0,50;34473,00;208,46;0,77;0,99;0,96;0,93;0,01;0,00;0,86;1,00;SEKER
34151,00;674,27;231,51;188,04;1,23;0,58;34580,00;208,52;0,75;0,99;0,94;0,90;0,01;0,00;0,81;1,00;SEKER
34151,00;662,13;226,52;192,24;1,18;0,53;34389,00;208,52;0,78;0,99;0,98;0,92;0,01;0,00;0,85;1,00;SEKER
34179,00;677,06;225,06;193,59;1,16;0,51;34576,00;208,61;0,78;0,99;0,94;0,93;0,01;0,00;0,86;1,00;SEKER
34191,00;661,40;223,98;194,47;1,15;0,50;34445,00;208,65;0,77;0,99;0,98;0,93;0,01;0,00;0,87;1,00;SEKER
34207,00;668,74;228,03;191,42;1,19;0,54;34515,00;208,70;0,76;0,99;0,96;0,92;0,01;0,00;0,84;1,00;SEKER
34207,00;661,14;226,87;192,19;1,18;0,53;34421,00;208,70;0,77;0,99;0,98;0,92;0,01;0,00;0,85;1,00;SEKER
34220,00;677,53;233,18;186,96;1,25;0,60;34577,00;208,73;0,77;0,99;0,94;0,90;0,01;0,00;0,80;1,00;SEKER
34222,00;671,99;223,30;195,24;1,14;0,49;34576,00;208,74;0,78;0,99;0,95;0,93;0,01;0,00;0,87;1,00;SEKER
34239,00;666,44;232,69;187,72;1,24;0,59;34510,00;208,79;0,77;0,99;0,97;0,90;0,01;0,00;0,81;1,00;SEKER
34246,00;684,32;229,91;189,99;1,21;0,56;34732,00;208,81;0,78;0,99;0,92;0,91;0,01;0,00;0,82;1,00;SEKER
34253,00;672,54;228,00;191,37;1,19;0,54;34556,00;208,84;0,79;0,99;0,95;0,92;0,01;0,00;0,84;1,00;SEKER
34254,00;668,70;223,97;194,93;1,15;0,49;34575,00;208,84;0,78;0,99;0,96;0,93;0,01;0,00;0,87;1,00;SEKER
34259,00;676,40;227,54;191,87;1,19;0,54;34623,00;208,85;0,77;0,99;0,94;0,92;0,01;0,00;0,84;1,00;SEKER
34276,00;689,63;229,56;190,41;1,21;0,56;34738,00;208,91;0,76;0,99;0,91;0,91;0,01;0,00;0,83;1,00;SEKER
34291,00;671,51;230,66;189,62;1,22;0,57;34619,00;208,95;0,78;0,99;0,96;0,91;0,01;0,00;0,82;1,00;SEKER
34313,00;671,84;220,93;198,10;1,12;0,44;34600,00;209,02;0,80;0,99;0,96;0,95;0,01;0,00;0,90;1,00;SEKER
34321,00;669,53;228,00;191,83;1,19;0,54;34652,00;209,04;0,79;0,99;0,96;0,92;0,01;0,00;0,84;1,00;SEKER
34327,00;677,31;231,16;189,30;1,22;0,57;34714,00;209,06;0,79;0,99;0,94;0,90;0,01;0,00;0,82;1,00;SEKER
